timestamp,app_name,error_code,message
2025-01-01 00:00:00,VSCode,APP1409,Access denied
2025-01-01 00:00:10,Teams,APP5012,DLL missing
2025-01-01 00:00:20,Zoom,APP2679,Access denied
2025-01-01 00:00:30,Firefox,APP2424,Corrupted config
2025-01-01 00:00:40,Word,APP1520,Out of memory
2025-01-01 00:00:50,VSCode,APP4582,DLL missing
2025-01-01 00:01:00,Firefox,APP1434,Corrupted config
2025-01-01 00:01:10,Spotify,APP9928,Extension crash
2025-01-01 00:01:20,Spotify,APP8359,Corrupted config
2025-01-01 00:01:30,Teams,APP1106,GPU failure
2025-01-01 00:01:40,Zoom,APP7924,Network timeout
2025-01-01 00:01:50,Teams,APP3547,DLL missing
2025-01-01 00:02:00,Excel,APP2674,Out of memory
2025-01-01 00:02:10,Word,APP2584,Network timeout
2025-01-01 00:02:20,Excel,APP5333,GPU failure
2025-01-01 00:02:30,Chrome,APP8527,Corrupted config
2025-01-01 00:02:40,VSCode,APP7201,Out of memory
2025-01-01 00:02:50,Firefox,APP5803,GPU failure
2025-01-01 00:03:00,Excel,APP4150,Access denied
2025-01-01 00:03:10,VSCode,APP1750,Access denied
2025-01-01 00:03:20,Spotify,APP5741,Out of memory
2025-01-01 00:03:30,Spotify,APP2654,Extension crash
2025-01-01 00:03:40,Teams,APP8428,Access denied
2025-01-01 00:03:50,Excel,APP3664,Network timeout
2025-01-01 00:04:00,Excel,APP4432,Access denied
2025-01-01 00:04:10,Teams,APP2169,Corrupted config
2025-01-01 00:04:20,Zoom,APP9751,Access denied
2025-01-01 00:04:30,Spotify,APP3677,Extension crash
2025-01-01 00:04:40,Word,APP5422,Access denied
2025-01-01 00:04:50,Firefox,APP4598,Access denied
2025-01-01 00:05:00,Excel,APP1916,DLL missing
2025-01-01 00:05:10,Chrome,APP6168,Extension crash
2025-01-01 00:05:20,Teams,APP2084,DLL missing
2025-01-01 00:05:30,Excel,APP4483,Access denied
2025-01-01 00:05:40,Outlook,APP7482,Access denied
2025-01-01 00:05:50,Outlook,APP3340,Network timeout
2025-01-01 00:06:00,Zoom,APP5040,Access denied
2025-01-01 00:06:10,Firefox,APP9830,Network timeout
2025-01-01 00:06:20,Word,APP7543,Network timeout
2025-01-01 00:06:30,Spotify,APP3266,Corrupted config
2025-01-01 00:06:40,Outlook,APP2489,GPU failure
2025-01-01 00:06:50,Chrome,APP2796,DLL missing
2025-01-01 00:07:00,Zoom,APP7916,Corrupted config
2025-01-01 00:07:10,VSCode,APP7304,Extension crash
2025-01-01 00:07:20,Outlook,APP9669,Network timeout
2025-01-01 00:07:30,Firefox,APP1188,Access denied
2025-01-01 00:07:40,VSCode,APP9797,GPU failure
2025-01-01 00:07:50,Teams,APP6573,Out of memory
2025-01-01 00:08:00,Teams,APP8123,DLL missing
2025-01-01 00:08:10,Outlook,APP1053,Access denied
2025-01-01 00:08:20,Teams,APP9201,GPU failure
2025-01-01 00:08:30,Zoom,APP9317,Out of memory
2025-01-01 00:08:40,Teams,APP9317,Corrupted config
2025-01-01 00:08:50,Spotify,APP3504,Network timeout
2025-01-01 00:09:00,Zoom,APP9837,GPU failure
2025-01-01 00:09:10,Firefox,APP1009,Corrupted config
2025-01-01 00:09:20,Excel,APP9005,Out of memory
2025-01-01 00:09:30,VSCode,APP6947,GPU failure
2025-01-01 00:09:40,Teams,APP4923,Out of memory
2025-01-01 00:09:50,Spotify,APP2290,Out of memory
2025-01-01 00:10:00,Outlook,APP2133,GPU failure
2025-01-01 00:10:10,Firefox,APP3060,DLL missing
2025-01-01 00:10:20,Outlook,APP3705,Network timeout
2025-01-01 00:10:30,Firefox,APP7932,DLL missing
2025-01-01 00:10:40,Firefox,APP4295,Access denied
2025-01-01 00:10:50,Teams,APP7537,Access denied
2025-01-01 00:11:00,Excel,APP8177,Corrupted config
2025-01-01 00:11:10,Outlook,APP2982,DLL missing
2025-01-01 00:11:20,Spotify,APP2049,Network timeout
2025-01-01 00:11:30,Chrome,APP4770,Corrupted config
2025-01-01 00:11:40,Spotify,APP1117,Out of memory
2025-01-01 00:11:50,Chrome,APP4750,Out of memory
2025-01-01 00:12:00,Chrome,APP6413,Out of memory
2025-01-01 00:12:10,Firefox,APP4899,Network timeout
2025-01-01 00:12:20,Outlook,APP4510,Corrupted config
2025-01-01 00:12:30,Zoom,APP8744,DLL missing
2025-01-01 00:12:40,Outlook,APP7669,DLL missing
2025-01-01 00:12:50,VSCode,APP2588,Access denied
2025-01-01 00:13:00,Word,APP6804,Extension crash
2025-01-01 00:13:10,Word,APP8651,GPU failure
2025-01-01 00:13:20,Chrome,APP2612,Out of memory
2025-01-01 00:13:30,Word,APP6559,GPU failure
2025-01-01 00:13:40,VSCode,APP5073,DLL missing
2025-01-01 00:13:50,Spotify,APP9786,Extension crash
2025-01-01 00:14:00,Zoom,APP7912,DLL missing
2025-01-01 00:14:10,Teams,APP8579,DLL missing
2025-01-01 00:14:20,VSCode,APP8260,GPU failure
2025-01-01 00:14:30,Firefox,APP2604,Out of memory
2025-01-01 00:14:40,Firefox,APP1241,Out of memory
2025-01-01 00:14:50,Spotify,APP3724,Extension crash
2025-01-01 00:15:00,Outlook,APP8886,DLL missing
2025-01-01 00:15:10,Word,APP1960,DLL missing
2025-01-01 00:15:20,Word,APP1035,Extension crash
2025-01-01 00:15:30,Teams,APP8454,Network timeout
2025-01-01 00:15:40,Word,APP8973,DLL missing
2025-01-01 00:15:50,Spotify,APP5861,DLL missing
2025-01-01 00:16:00,Chrome,APP9883,Out of memory
2025-01-01 00:16:10,Excel,APP1936,Out of memory
2025-01-01 00:16:20,Outlook,APP9238,GPU failure
2025-01-01 00:16:30,Firefox,APP3579,Out of memory
2025-01-01 00:16:40,Firefox,APP2312,GPU failure
2025-01-01 00:16:50,Zoom,APP2122,Corrupted config
2025-01-01 00:17:00,VSCode,APP4853,Extension crash
2025-01-01 00:17:10,VSCode,APP5033,Corrupted config
2025-01-01 00:17:20,Chrome,APP2343,Extension crash
2025-01-01 00:17:30,Firefox,APP6183,Network timeout
2025-01-01 00:17:40,Spotify,APP6147,DLL missing
2025-01-01 00:17:50,Teams,APP7484,DLL missing
2025-01-01 00:18:00,Teams,APP8491,Network timeout
2025-01-01 00:18:10,VSCode,APP1152,Extension crash
2025-01-01 00:18:20,VSCode,APP2200,Corrupted config
2025-01-01 00:18:30,Spotify,APP9288,Network timeout
2025-01-01 00:18:40,Zoom,APP6718,Out of memory
2025-01-01 00:18:50,Spotify,APP7054,Network timeout
2025-01-01 00:19:00,Zoom,APP8179,GPU failure
2025-01-01 00:19:10,Firefox,APP5956,Corrupted config
2025-01-01 00:19:20,Firefox,APP1128,Access denied
2025-01-01 00:19:30,Firefox,APP5905,Access denied
2025-01-01 00:19:40,VSCode,APP3200,Network timeout
2025-01-01 00:19:50,VSCode,APP2753,Access denied
2025-01-01 00:20:00,Firefox,APP3546,Network timeout
2025-01-01 00:20:10,Teams,APP4450,Access denied
2025-01-01 00:20:20,Excel,APP4335,Access denied
2025-01-01 00:20:30,Teams,APP9280,Extension crash
2025-01-01 00:20:40,Teams,APP1832,Out of memory
2025-01-01 00:20:50,Word,APP5533,Out of memory
2025-01-01 00:21:00,Chrome,APP6464,GPU failure
2025-01-01 00:21:10,Zoom,APP5291,DLL missing
2025-01-01 00:21:20,Outlook,APP8007,Corrupted config
2025-01-01 00:21:30,Chrome,APP2832,Out of memory
2025-01-01 00:21:40,Zoom,APP9938,Out of memory
2025-01-01 00:21:50,Excel,APP3426,Extension crash
2025-01-01 00:22:00,Zoom,APP1685,Network timeout
2025-01-01 00:22:10,Excel,APP1653,Network timeout
2025-01-01 00:22:20,Spotify,APP5088,Access denied
2025-01-01 00:22:30,VSCode,APP6794,GPU failure
2025-01-01 00:22:40,Firefox,APP7658,Corrupted config
2025-01-01 00:22:50,Zoom,APP4878,GPU failure
2025-01-01 00:23:00,Zoom,APP3900,Extension crash
2025-01-01 00:23:10,Chrome,APP3938,Access denied
2025-01-01 00:23:20,Excel,APP7745,GPU failure
2025-01-01 00:23:30,Spotify,APP5371,DLL missing
2025-01-01 00:23:40,VSCode,APP7267,GPU failure
2025-01-01 00:23:50,Chrome,APP8711,DLL missing
2025-01-01 00:24:00,Spotify,APP8541,Network timeout
2025-01-01 00:24:10,Teams,APP4728,DLL missing
2025-01-01 00:24:20,Chrome,APP4164,Extension crash
2025-01-01 00:24:30,Excel,APP5564,GPU failure
2025-01-01 00:24:40,VSCode,APP5573,Network timeout
2025-01-01 00:24:50,Firefox,APP7548,Access denied
2025-01-01 00:25:00,Firefox,APP6425,Out of memory
2025-01-01 00:25:10,VSCode,APP5279,DLL missing
2025-01-01 00:25:20,Teams,APP1626,Out of memory
2025-01-01 00:25:30,Word,APP6663,Access denied
2025-01-01 00:25:40,Excel,APP8149,Corrupted config
2025-01-01 00:25:50,Firefox,APP2894,Extension crash
2025-01-01 00:26:00,Spotify,APP5173,Out of memory
2025-01-01 00:26:10,Word,APP1027,Corrupted config
2025-01-01 00:26:20,Firefox,APP4228,Network timeout
2025-01-01 00:26:30,Word,APP2146,Access denied
2025-01-01 00:26:40,Excel,APP6143,Access denied
2025-01-01 00:26:50,VSCode,APP5920,Corrupted config
2025-01-01 00:27:00,Teams,APP7691,Network timeout
2025-01-01 00:27:10,Word,APP5844,Corrupted config
2025-01-01 00:27:20,Zoom,APP4143,Extension crash
2025-01-01 00:27:30,Word,APP3851,Corrupted config
2025-01-01 00:27:40,Teams,APP7653,Corrupted config
2025-01-01 00:27:50,Chrome,APP5978,Network timeout
2025-01-01 00:28:00,Spotify,APP8043,GPU failure
2025-01-01 00:28:10,Excel,APP8618,Extension crash
2025-01-01 00:28:20,Outlook,APP4501,Corrupted config
2025-01-01 00:28:30,Outlook,APP3780,Access denied
2025-01-01 00:28:40,VSCode,APP5649,Corrupted config
2025-01-01 00:28:50,Excel,APP2530,GPU failure
2025-01-01 00:29:00,Spotify,APP6085,DLL missing
2025-01-01 00:29:10,Spotify,APP3414,Out of memory
2025-01-01 00:29:20,Chrome,APP5011,Extension crash
2025-01-01 00:29:30,VSCode,APP8461,Extension crash
2025-01-01 00:29:40,Spotify,APP7291,Extension crash
2025-01-01 00:29:50,Word,APP4997,DLL missing
2025-01-01 00:30:00,Chrome,APP2746,GPU failure
2025-01-01 00:30:10,Word,APP4585,DLL missing
2025-01-01 00:30:20,Firefox,APP8611,Out of memory
2025-01-01 00:30:30,Firefox,APP5082,GPU failure
2025-01-01 00:30:40,VSCode,APP8478,DLL missing
2025-01-01 00:30:50,Outlook,APP9702,Corrupted config
2025-01-01 00:31:00,Excel,APP8251,Corrupted config
2025-01-01 00:31:10,Firefox,APP7991,GPU failure
2025-01-01 00:31:20,Firefox,APP8305,DLL missing
2025-01-01 00:31:30,Outlook,APP8373,Network timeout
2025-01-01 00:31:40,Spotify,APP5543,GPU failure
2025-01-01 00:31:50,Firefox,APP8939,Access denied
2025-01-01 00:32:00,Spotify,APP5499,Extension crash
2025-01-01 00:32:10,VSCode,APP5681,DLL missing
2025-01-01 00:32:20,Teams,APP6502,Network timeout
2025-01-01 00:32:30,Firefox,APP2320,DLL missing
2025-01-01 00:32:40,Zoom,APP4788,Extension crash
2025-01-01 00:32:50,Zoom,APP4505,Out of memory
2025-01-01 00:33:00,Word,APP7678,Network timeout
2025-01-01 00:33:10,Firefox,APP8633,Extension crash
2025-01-01 00:33:20,Chrome,APP4388,GPU failure
2025-01-01 00:33:30,Word,APP7381,GPU failure
2025-01-01 00:33:40,Chrome,APP7232,Extension crash
2025-01-01 00:33:50,Chrome,APP6763,Network timeout
2025-01-01 00:34:00,Word,APP7865,Corrupted config
2025-01-01 00:34:10,Firefox,APP4613,Extension crash
2025-01-01 00:34:20,Spotify,APP5471,Extension crash
2025-01-01 00:34:30,Outlook,APP1475,Extension crash
2025-01-01 00:34:40,Excel,APP7624,Access denied
2025-01-01 00:34:50,Zoom,APP8657,DLL missing
2025-01-01 00:35:00,Firefox,APP1441,Extension crash
2025-01-01 00:35:10,Chrome,APP2375,Access denied
2025-01-01 00:35:20,Word,APP3223,GPU failure
2025-01-01 00:35:30,Outlook,APP3977,Out of memory
2025-01-01 00:35:40,Teams,APP7211,Network timeout
2025-01-01 00:35:50,Spotify,APP8449,Network timeout
2025-01-01 00:36:00,Excel,APP7211,Network timeout
2025-01-01 00:36:10,Word,APP5133,GPU failure
2025-01-01 00:36:20,VSCode,APP8705,Out of memory
2025-01-01 00:36:30,Firefox,APP1853,Network timeout
2025-01-01 00:36:40,Spotify,APP2124,GPU failure
2025-01-01 00:36:50,Chrome,APP1508,DLL missing
2025-01-01 00:37:00,Spotify,APP1333,Corrupted config
2025-01-01 00:37:10,Zoom,APP4908,DLL missing
2025-01-01 00:37:20,Outlook,APP2874,Corrupted config
2025-01-01 00:37:30,Spotify,APP8619,Access denied
2025-01-01 00:37:40,Teams,APP7043,DLL missing
2025-01-01 00:37:50,VSCode,APP3683,Network timeout
2025-01-01 00:38:00,VSCode,APP1420,Network timeout
2025-01-01 00:38:10,Word,APP7498,Access denied
2025-01-01 00:38:20,Spotify,APP2245,Corrupted config
2025-01-01 00:38:30,Spotify,APP2669,Access denied
2025-01-01 00:38:40,Teams,APP2983,GPU failure
2025-01-01 00:38:50,Chrome,APP6688,Corrupted config
2025-01-01 00:39:00,Word,APP7071,Out of memory
2025-01-01 00:39:10,Firefox,APP6590,Out of memory
2025-01-01 00:39:20,Word,APP9031,Out of memory
2025-01-01 00:39:30,Word,APP6934,Access denied
2025-01-01 00:39:40,Outlook,APP3506,Extension crash
2025-01-01 00:39:50,Zoom,APP9548,Access denied
2025-01-01 00:40:00,Teams,APP9817,GPU failure
2025-01-01 00:40:10,Outlook,APP8616,Extension crash
2025-01-01 00:40:20,Teams,APP6280,GPU failure
2025-01-01 00:40:30,Spotify,APP2419,Network timeout
